Temperature (C),Apparent Temperature (C),Humidity
9.472222222,7.388888889,0.89
9.355555556,7.227777778,0.86
9.377777778,9.377777778,0.89
8.288888889,5.944444444,0.83
8.755555556,6.977777778,0.83
9.222222222,7.111111111,0.85
7.733333333,5.522222222,0.95
8.772222222,6.527777778,0.89
10.82222222,10.82222222,0.82
13.77222222,13.77222222,0.72
16.01666667,16.01666667,0.67
17.14444444,17.14444444,0.54
17.8,17.8,0.55
17.33333333,17.33333333,0.51
18.87777778,18.87777778,0.47
18.91111111,18.91111111,0.46
15.38888889,15.38888889,0.6
15.55,15.55,0.63
14.25555556,14.25555556,0.69
13.14444444,13.14444444,0.7
11.55,11.55,0.77
11.18333333,11.18333333,0.76
10.11666667,10.11666667,0.79
10.2,10.2,0.77
10.42222222,10.42222222,0.62
9.911111111,7.566666667,0.66
11.18333333,11.18333333,0.8
7.155555556,5.044444444,0.79
6.111111111,4.816666667,0.82
6.788888889,4.272222222,0.83
7.261111111,5.155555556,0.85
7.8,5.527777778,0.83
9.872222222,7.933333333,0.78
12.22222222,12.22222222,0.72
15.09444444,15.09444444,0.61
17.35555556,17.35555556,0.52
19.00555556,19.00555556,0.46
20.04444444,20.04444444,0.4
21.05,21.05,0.4
21.18333333,21.18333333,0.37
20.11666667,20.11666667,0.4
20.21666667,20.21666667,0.36
20,20,0.43
17.8,17.8,0.5
16.06111111,16.06111111,0.53
15.02222222,15.02222222,0.55
14.42222222,14.42222222,0.58
14.25555556,14.25555556,0.59
13.77222222,13.77222222,0.6
13.28333333,13.28333333,0.63
8.633333333,5.466666667,0.87
11.25,11.25,0.83
11.18333333,11.18333333,0.89
10.69444444,10.69444444,0.95
11.11111111,11.11111111,0.93
11.11111111,11.11111111,0.93
12.16666667,12.16666667,0.82
12.75555556,12.75555556,0.79
13.83888889,13.83888889,0.84
16.18333333,16.18333333,0.73
17.51666667,17.51666667,0.67
17.38333333,17.38333333,0.67
17.36111111,17.36111111,0.71
17.20555556,17.20555556,0.74
15.63333333,15.63333333,0.81
13.57777778,13.57777778,0.9
10.91111111,10.91111111,0.86
8.8,5.294444444,0.99
8.961111111,5.777777778,0.93
8.2,4.605555556,0.96
7.688888889,3.722222222,0.96
7.766666667,4.65,0.96
8.2,5.072222222,0.96
8.177777778,4.372222222,0.93
7.311111111,6.183333333,0.82
7.644444444,5.038888889,0.93
6.622222222,2.616666667,0.93
6.683333333,3.222222222,0.93
6.088888889,1.65,0.93
6.066666667,1.633333333,0.93
6.144444444,1.494444444,0.93
7.133333333,2.688888889,0.8
7.205555556,3.233333333,0.86
7.566666667,3.544444444,0.84
8.9,5.161111111,0.77
9.961111111,6.644444444,0.71
9.888888889,6.55,0.71
11.06666667,11.06666667,0.71
10.11666667,10.11666667,0.76
11.03888889,11.03888889,0.66
10.65,10.65,0.7
10.05,10.05,0.7
9.9,7.716666667,0.66
8.794444444,6.816666667,0.71
7.827777778,5.405555556,0.72
7.855555556,6.122222222,0.72
7.316666667,6.211111111,0.75
7.244444444,6.005555556,0.75
5.438888889,5.438888889,0.88
7.2,4.55,0.76
6.688888889,3.161111111,0.7
6.211111111,2.694444444,0.73
6.111111111,2.8,0.76
6.111111111,2.438888889,0.76
6.172222222,2.922222222,0.76
7.222222222,3.833333333,0.71
7.288888889,4.244444444,0.73
7.405555556,4.816666667,0.72
7.961111111,6.072222222,0.7
8.033333333,7.583333333,0.7
9.077777778,9.077777778,0.65
9.05,9.05,0.62
9.05,9.05,0.65
9.183333333,9.183333333,0.65
9.072222222,7.455555556,0.7
7.983333333,6.811111111,0.75
8.072222222,6.433333333,0.75
7.894444444,6.127777778,0.82
7.311111111,4.805555556,0.83
7.338888889,5.183333333,0.84
6.622222222,4.111111111,0.85
6.066666667,3.411111111,0.88
8.338888889,8.338888889,0.88
5.183333333,4.111111111,0.91
3.722222222,2.566666667,0.94
4.855555556,3.705555556,0.93
5.211111111,5.211111111,0.92
6.255555556,4.638888889,0.92
7.794444444,6.055555556,0.87
10.05,10.05,0.76
12.2,12.2,0.66
12.7,12.7,0.63
13.93333333,13.93333333,0.58
15.09444444,15.09444444,0.59
15.15,15.15,0.5
16.17777778,16.17777778,0.44
16.25,16.25,0.55
16.29444444,16.29444444,0.5
16.1,16.1,0.56
12.95555556,12.95555556,0.68
13.85,13.85,0.64
12.77777778,12.77777778,0.69
12.15,12.15,0.72
10.67777778,10.67777778,0.81
10.44444444,10.44444444,0.83
9.822222222,9.466666667,0.8
11.02777778,11.02777778,0.74
7.138888889,7.138888889,0.93
7.622222222,5.644444444,0.89
7.627777778,6.611111111,0.86
7.044444444,4.855555556,0.86
8.6,7.038888889,0.84
9.65,7.383333333,0.84
12.10555556,12.10555556,0.72
12.77777778,12.77777778,0.71
13.81111111,13.81111111,0.65
16.01666667,16.01666667,0.48
17.12777778,17.12777778,0.47
17.14444444,17.14444444,0.43
17.77777778,17.77777778,0.4
17.77777778,17.77777778,0.37
17.80555556,17.80555556,0.43
16.15555556,16.15555556,0.52
14.05,14.05,0.63
13.08888889,13.08888889,0.67
12.28888889,12.28888889,0.72
12.77777778,12.77777778,0.66
12.72777778,12.72777778,0.67
12.26666667,12.26666667,0.69
11.71111111,11.71111111,0.71
10.82777778,10.82777778,0.86
12.2,12.2,0.59
12.2,12.2,0.6
11.68888889,11.68888889,0.68
11.20555556,11.20555556,0.77
11.13333333,11.13333333,0.77
11.43888889,11.43888889,0.77
13.03333333,13.03333333,0.81
17.24444444,17.24444444,0.62
17.73888889,17.73888889,0.53
17.84444444,17.84444444,0.56
18.86111111,18.86111111,0.56
18.66666667,18.66666667,0.56
17.82222222,17.82222222,0.56
17.8,17.8,0.59
17.35,17.35,0.57
16.06666667,16.06666667,0.67
14.93333333,14.93333333,0.73
13.92222222,13.92222222,0.78
12.75555556,12.75555556,0.84
